Date,Site Name,Degree Day Area,HDD at 10.5°C,HDD at 15.5°C,HDD at 18.5°C,CDD at 10.5°C,CDD at 15.5°C,CDD at 18.5°C
06/02/13,Thames Valley,Thames Valley - Oxford Area,6.4,11.4,14.4,0.0,0.0,0.0
07/02/13,Thames Valley,Thames Valley - Oxford Area,8.1,13.1,16.1,0.0,0.0,0.0
08/02/13,Thames Valley,Thames Valley - Oxford Area,8.1,13.1,16.1,0.0,0.0,0.0
09/02/13,Thames Valley,Thames Valley - Oxford Area,8.6,13.6,16.6,0.0,0.0,0.0
10/02/13,Thames Valley,Thames Valley - Oxford Area,7.7,12.7,15.7,0.0,0.0,0.0
11/02/13,Thames Valley,Thames Valley - Oxford Area,9.8,14.8,17.8,0.0,0.0,0.0
12/02/13,Thames Valley,Thames Valley - Oxford Area,9.6,14.6,17.6,0.0,0.0,0.0
13/02/13,Thames Valley,Thames Valley - Oxford Area,9.3,14.3,17.3,0.0,0.0,0.0
14/02/13,Thames Valley,Thames Valley - Oxford Area,3.2,8.2,11.2,0.0,0.0,0.0
15/02/13,Thames Valley,Thames Valley - Oxford Area,5.6,10.6,13.6,0.0,0.0,0.0
16/02/13,Thames Valley,Thames Valley - Oxford Area,5.7,10.7,13.7,0.0,0.0,0.0
17/02/13,Thames Valley,Thames Valley - Oxford Area,6.7,11.7,14.7,0.0,0.0,0.0
18/02/13,Thames Valley,Thames Valley - Oxford Area,6.9,11.9,14.9,0.0,0.0,0.0
19/02/13,Thames Valley,Thames Valley - Oxford Area,8.8,13.8,16.8,0.0,0.0,0.0
20/02/13,Thames Valley,Thames Valley - Oxford Area,8.7,13.7,16.7,0.0,0.0,0.0
21/02/13,Thames Valley,Thames Valley - Oxford Area,9.6,14.6,17.6,0.0,0.0,0.0
22/02/13,Thames Valley,Thames Valley - Oxford Area,10.1,15.1,18.1,0.0,0.0,0.0
23/02/13,Thames Valley,Thames Valley - Oxford Area,10.1,15.1,18.1,0.0,0.0,0.0
24/02/13,Thames Valley,Thames Valley - Oxford Area,9.5,14.3,17.3,0.0,0.0,0.0
25/02/13,Thames Valley,Thames Valley - Oxford Area,7.8,12.8,15.8,0.0,0.0,0.0
26/02/13,Thames Valley,Thames Valley - Oxford Area,7.4,12.4,15.4,0.0,0.0,0.0
27/02/13,Thames Valley,Thames Valley - Oxford Area,7.9,12.9,15.9,0.0,0.0,0.0
28/02/13,Thames Valley,Thames Valley - Oxford Area,7.0,12.0,15.0,0.0,0.0,0.0
01/03/13,Thames Valley,Thames Valley - Oxford Area,6.3,11.3,14.3,0.0,0.0,0.0
02/03/13,Thames Valley,Thames Valley - Oxford Area,8.4,13.4,16.4,0.0,0.0,0.0
03/03/13,Thames Valley,Thames Valley - Oxford Area,8.3,13.3,16.3,0.0,0.0,0.0
04/03/13,Thames Valley,Thames Valley - Oxford Area,6.0,11.0,14.0,0.0,0.0,0.0
05/03/13,Thames Valley,Thames Valley - Oxford Area,5.5,9.5,12.5,0.9,0.0,0.0
06/03/13,Thames Valley,Thames Valley - Oxford Area,3.2,8.1,11.1,0.1,0.0,0.0
07/03/13,Thames Valley,Thames Valley - Oxford Area,2.9,7.9,10.9,0.0,0.0,0.0
08/03/13,Thames Valley,Thames Valley - Oxford Area,1.8,6.8,9.8,0.0,0.0,0.0
09/03/13,Thames Valley,Thames Valley - Oxford Area,5.3,10.3,13.3,0.0,0.0,0.0
10/03/13,Thames Valley,Thames Valley - Oxford Area,8.6,13.6,16.6,0.0,0.0,0.0
11/03/13,Thames Valley,Thames Valley - Oxford Area,11.1,16.0,18.9,0.0,0.0,0.0
12/03/13,Thames Valley,Thames Valley - Oxford Area,10.0,15.0,18.0,0.0,0.0,0.0
13/03/13,Thames Valley,Thames Valley - Oxford Area,7.7,12.6,15.5,0.0,0.0,0.0
14/03/13,Thames Valley,Thames Valley - Oxford Area,8.6,13.6,16.6,0.0,0.0,0.0
15/03/13,Thames Valley,Thames Valley - Oxford Area,4.7,9.7,12.7,0.0,0.0,0.0
16/03/13,Thames Valley,Thames Valley - Oxford Area,4.7,9.7,12.7,0.0,0.0,0.0
17/03/13,Thames Valley,Thames Valley - Oxford Area,8.9,13.9,16.9,0.0,0.0,0.0
18/03/13,Thames Valley,Thames Valley - Oxford Area,8.6,13.6,16.6,0.0,0.0,0.0
19/03/13,Thames Valley,Thames Valley - Oxford Area,7.7,12.7,15.7,0.0,0.0,0.0
20/03/13,Thames Valley,Thames Valley - Oxford Area,8.0,12.9,15.9,0.0,0.0,0.0
21/03/13,Thames Valley,Thames Valley - Oxford Area,7.1,12.1,15.1,0.0,0.0,0.0
22/03/13,Thames Valley,Thames Valley - Oxford Area,7.3,12.3,15.3,0.0,0.0,0.0
23/03/13,Thames Valley,Thames Valley - Oxford Area,9.7,14.7,17.7,0.0,0.0,0.0
24/03/13,Thames Valley,Thames Valley - Oxford Area,10.5,15.4,18.3,0.0,0.0,0.0
25/03/13,Thames Valley,Thames Valley - Oxford Area,10.0,15.0,18.0,0.0,0.0,0.0
26/03/13,Thames Valley,Thames Valley - Oxford Area,9.5,14.2,17.1,0.0,0.0,0.0
27/03/13,Thames Valley,Thames Valley - Oxford Area,9.6,14.6,17.6,0.0,0.0,0.0
28/03/13,Thames Valley,Thames Valley - Oxford Area,9.1,14.1,17.1,0.0,0.0,0.0
29/03/13,Thames Valley,Thames Valley - Oxford Area,9.6,14.6,17.6,0.0,0.0,0.0
30/03/13,Thames Valley,Thames Valley - Oxford Area,8.8,13.8,16.8,0.0,0.0,0.0
31/03/13,Thames Valley,Thames Valley - Oxford Area,9.1,14.1,17.1,0.0,0.0,0.0
01/04/13,Thames Valley,Thames Valley - Oxford Area,8.5,13.5,16.5,0.0,0.0,0.0
02/04/13,Thames Valley,Thames Valley - Oxford Area,7.7,12.7,15.7,0.0,0.0,0.0
03/04/13,Thames Valley,Thames Valley - Oxford Area,8.3,13.3,16.3,0.0,0.0,0.0
04/04/13,Thames Valley,Thames Valley - Oxford Area,8.6,13.6,16.6,0.0,0.0,0.0
05/04/13,Thames Valley,Thames Valley - Oxford Area,7.0,12.0,15.0,0.0,0.0,0.0
06/04/13,Thames Valley,Thames Valley - Oxford Area,6.2,11.1,14.0,0.0,0.0,0.0
07/04/13,Thames Valley,Thames Valley - Oxford Area,5.9,10.9,13.9,0.0,0.0,0.0
08/04/13,Thames Valley,Thames Valley - Oxford Area,4.5,9.4,12.4,0.0,0.0,0.0
09/04/13,Thames Valley,Thames Valley - Oxford Area,4.5,9.5,12.5,0.0,0.0,0.0
10/04/13,Thames Valley,Thames Valley - Oxford Area,4.0,8.9,11.9,0.1,0.0,0.0
11/04/13,Thames Valley,Thames Valley - Oxford Area,3.2,8.1,11.1,0.0,0.0,0.0
12/04/13,Thames Valley,Thames Valley - Oxford Area,2.2,7.2,10.2,0.1,0.0,0.0
13/04/13,Thames Valley,Thames Valley - Oxford Area,2.2,7.1,10.1,0.1,0.0,0.0
14/04/13,Thames Valley,Thames Valley - Oxford Area,0.0,2.2,4.9,3.1,0.3,0.0
15/04/13,Thames Valley,Thames Valley - Oxford Area,0.2,3.3,6.3,1.9,0.0,0.0
16/04/13,Thames Valley,Thames Valley - Oxford Area,0.3,3.3,6.2,2.0,0.1,0.0
17/04/13,Thames Valley,Thames Valley - Oxford Area,0.3,3.1,5.9,2.4,0.2,0.0
18/04/13,Thames Valley,Thames Valley - Oxford Area,1.1,5.2,8.2,0.9,0.0,0.0
19/04/13,Thames Valley,Thames Valley - Oxford Area,1.9,6.3,9.3,0.7,0.0,0.0
20/04/13,Thames Valley,Thames Valley - Oxford Area,3.5,7.2,10.1,1.4,0.0,0.0
21/04/13,Thames Valley,Thames Valley - Oxford Area,3.0,7.2,10.2,0.8,0.0,0.0
22/04/13,Thames Valley,Thames Valley - Oxford Area,1.4,5.4,8.4,1.0,0.0,0.0
23/04/13,Thames Valley,Thames Valley - Oxford Area,0.3,2.8,5.0,3.6,1.1,0.3
24/04/13,Thames Valley,Thames Valley - Oxford Area,0.9,3.5,5.9,3.0,0.5,0.0
25/04/13,Thames Valley,Thames Valley - Oxford Area,0.1,2.5,4.7,3.5,0.8,0.1
26/04/13,Thames Valley,Thames Valley - Oxford Area,2.4,6.9,9.9,0.5,0.0,0.0
27/04/13,Thames Valley,Thames Valley - Oxford Area,4.6,9.6,12.6,0.0,0.0,0.0
28/04/13,Thames Valley,Thames Valley - Oxford Area,3.6,8.4,11.3,0.2,0.0,0.0
29/04/13,Thames Valley,Thames Valley - Oxford Area,2.0,6.1,9.1,0.9,0.0,0.0
30/04/13,Thames Valley,Thames Valley - Oxford Area,2.9,6.9,9.9,1.0,0.0,0.0
01/05/13,Thames Valley,Thames Valley - Oxford Area,3.2,6.6,9.5,1.7,0.1,0.0
02/05/13,Thames Valley,Thames Valley - Oxford Area,2.5,5.3,7.9,2.6,0.4,0.0
03/05/13,Thames Valley,Thames Valley - Oxford Area,1.8,4.6,7.2,2.7,0.5,0.0
04/05/13,Thames Valley,Thames Valley - Oxford Area,0.8,4.0,6.9,2.0,0.2,0.0
05/05/13,Thames Valley,Thames Valley - Oxford Area,0.9,3.4,5.7,3.2,0.8,0.0
06/05/13,Thames Valley,Thames Valley - Oxford Area,1.1,3.2,4.9,4.9,2.0,0.7
07/05/13,Thames Valley,Thames Valley - Oxford Area,0.8,2.5,4.1,5.9,2.6,1.2
08/05/13,Thames Valley,Thames Valley - Oxford Area,0.3,2.9,5.7,2.7,0.2,0.0
09/05/13,Thames Valley,Thames Valley - Oxford Area,1.4,5.8,8.8,0.6,0.0,0.0
10/05/13,Thames Valley,Thames Valley - Oxford Area,0.6,4.1,7.1,1.6,0.0,0.0
11/05/13,Thames Valley,Thames Valley - Oxford Area,2.3,6.9,9.9,0.4,0.0,0.0
12/05/13,Thames Valley,Thames Valley - Oxford Area,1.5,6.0,9.0,0.5,0.0,0.0
13/05/13,Thames Valley,Thames Valley - Oxford Area,0.9,5.2,8.2,0.7,0.0,0.0
14/05/13,Thames Valley,Thames Valley - Oxford Area,2.3,7.2,10.2,0.0,0.0,0.0
15/05/13,Thames Valley,Thames Valley - Oxford Area,3.1,7.8,10.8,0.3,0.0,0.0
16/05/13,Thames Valley,Thames Valley - Oxford Area,2.6,6.5,9.5,1.1,0.0,0.0
17/05/13,Thames Valley,Thames Valley - Oxford Area,1.9,6.4,9.4,0.5,0.0,0.0
18/05/13,Thames Valley,Thames Valley - Oxford Area,0.6,3.7,6.7,1.9,0.0,0.0
19/05/13,Thames Valley,Thames Valley - Oxford Area,0.9,3.1,5.5,3.4,0.7,0.0
20/05/13,Thames Valley,Thames Valley - Oxford Area,0.1,2.0,4.7,3.4,0.4,0.0
21/05/13,Thames Valley,Thames Valley - Oxford Area,0.0,2.6,5.6,2.4,0.0,0.0
22/05/13,Thames Valley,Thames Valley - Oxford Area,0.6,4.5,7.5,1.1,0.0,0.0
23/05/13,Thames Valley,Thames Valley - Oxford Area,3.2,8.2,11.2,0.0,0.0,0.0
24/05/13,Thames Valley,Thames Valley - Oxford Area,3.8,8.8,11.8,0.0,0.0,0.0
25/05/13,Thames Valley,Thames Valley - Oxford Area,1.8,5.2,8.2,1.6,0.0,0.0
26/05/13,Thames Valley,Thames Valley - Oxford Area,1.7,4.2,6.4,3.4,0.9,0.1
27/05/13,Thames Valley,Thames Valley - Oxford Area,1.4,4.4,7.2,2.2,0.2,0.0
28/05/13,Thames Valley,Thames Valley - Oxford Area,1.2,6.2,9.2,0.0,0.0,0.0
29/05/13,Thames Valley,Thames Valley - Oxford Area,1.0,5.5,8.5,0.5,0.0,0.0
30/05/13,Thames Valley,Thames Valley - Oxford Area,0.0,2.9,5.9,2.1,0.0,0.0
31/05/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.9,3.7,4.8,1.6,0.5
01/06/13,Thames Valley,Thames Valley - Oxford Area,0.3,2.9,5.4,2.9,0.5,0.0
02/06/13,Thames Valley,Thames Valley - Oxford Area,1.2,3.6,6.0,3.1,0.5,0.0
03/06/13,Thames Valley,Thames Valley - Oxford Area,1.2,3.4,5.4,3.9,1.1,0.1
04/06/13,Thames Valley,Thames Valley - Oxford Area,1.1,3.3,5.4,3.9,1.2,0.2
05/06/13,Thames Valley,Thames Valley - Oxford Area,0.4,3.1,5.5,2.9,0.6,0.0
06/06/13,Thames Valley,Thames Valley - Oxford Area,0.9,3.2,5.2,4.1,1.5,0.4
07/06/13,Thames Valley,Thames Valley - Oxford Area,0.5,2.6,4.6,4.1,1.2,0.2
08/06/13,Thames Valley,Thames Valley - Oxford Area,0.4,3.2,6.0,2.4,0.2,0.0
09/06/13,Thames Valley,Thames Valley - Oxford Area,0.4,3.5,6.4,2.0,0.2,0.0
10/06/13,Thames Valley,Thames Valley - Oxford Area,1.3,4.4,7.4,1.8,0.0,0.0
11/06/13,Thames Valley,Thames Valley - Oxford Area,0.4,2.5,4.9,3.5,0.6,0.0
12/06/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.8,3.5,4.5,0.3,0.0
13/06/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.7,4.6,3.4,0.1,0.0
14/06/13,Thames Valley,Thames Valley - Oxford Area,0.5,2.6,5.1,3.4,0.5,0.0
15/06/13,Thames Valley,Thames Valley - Oxford Area,0.2,2.8,5.8,2.4,0.0,0.0
16/06/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.9,4.7,3.3,0.1,0.0
17/06/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.4,3.3,4.8,1.2,0.1
18/06/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.1,2.9,5.2,1.4,0.1
19/06/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.3,1.2,9.0,4.2,2.1
20/06/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.2,1.2,7.2,2.4,0.4
21/06/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.8,2.6,6.1,1.9,0.7
22/06/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.6,4.3,3.7,0.3,0.0
23/06/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.7,4.4,3.6,0.2,0.0
24/06/13,Thames Valley,Thames Valley - Oxford Area,0.3,2.6,5.3,3.0,0.3,0.0
25/06/13,Thames Valley,Thames Valley - Oxford Area,0.4,2.5,4.3,4.3,1.4,0.2
26/06/13,Thames Valley,Thames Valley - Oxford Area,0.5,2.4,4.0,5.1,1.9,0.5
27/06/13,Thames Valley,Thames Valley - Oxford Area,0.0,2.2,4.5,3.6,0.8,0.1
28/06/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.7,2.5,5.8,1.5,0.3
29/06/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.7,2.1,6.3,2.1,0.5
30/06/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.5,2.1,7.1,2.6,1.2
01/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.2,3.1,5.0,1.2,0.1
02/07/13,Thames Valley,Thames Valley - Oxford Area,0.2,2.3,5.3,2.9,0.0,0.0
03/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.8,2.7,5.4,1.2,0.1
04/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.9,2.4,6.4,2.3,0.8
05/07/13,Thames Valley,Thames Valley - Oxford Area,0.2,1.4,2.6,7.7,4.0,2.2
06/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.0,2.1,8.7,4.7,2.8
07/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.7,1.6,10.7,6.4,4.3
08/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.4,1.6,8.9,4.3,2.5
09/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.1,2.4,8.3,4.3,2.6
10/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.2,2.6,6.8,3.0,1.4
11/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.4,3.1,5.9,2.3,0.9
12/07/13,Thames Valley,Thames Valley - Oxford Area,0.2,1.6,3.1,6.9,3.3,1.9
13/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.7,1.5,12.0,7.7,5.5
14/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.0,0.4,12.1,7.1,4.5
15/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.5,1.3,10.9,6.4,4.2
16/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.1,0.9,12.0,7.2,4.9
17/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.2,0.9,12.6,7.8,5.5
18/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.1,0.7,11.8,6.9,4.5
19/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.4,1.1,11.3,6.7,4.5
20/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.1,1.0,8.5,3.6,1.5
21/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.0,0.8,9.5,4.5,2.3
22/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.0,0.8,12.5,7.5,5.2
23/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.0,0.1,11.4,6.4,3.6
24/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.2,1.0,9.6,4.8,2.6
25/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.0,0.9,9.0,4.0,1.9
26/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.7,2.0,8.7,4.4,2.7
27/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.1,2.6,7.7,3.8,2.3
28/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.2,1.5,7.6,2.9,1.1
29/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.1,1.5,6.9,2.1,0.4
30/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.4,2.0,6.8,2.2,0.8
31/07/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.0,0.9,8.3,3.3,1.3
01/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.0,0.3,14.0,9.0,6.2
02/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.0,0.7,9.2,4.2,2.0
03/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.3,1.8,7.0,2.3,0.8
04/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.4,1.4,7.4,2.8,0.8
05/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.3,2.0,6.7,1.9,0.7
06/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.3,2.9,5.8,2.1,0.6
07/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.9,2.5,6.5,2.5,1.0
08/08/13,Thames Valley,Thames Valley - Oxford Area,0.3,1.8,2.9,7.2,3.6,1.8
09/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.1,1.4,7.7,2.8,1.1
10/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.7,2.1,6.5,2.2,0.6
11/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.3,1.6,7.1,2.4,0.8
12/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.3,3.0,5.3,1.5,0.3
13/08/13,Thames Valley,Thames Valley - Oxford Area,0.3,2.4,4.6,3.7,0.8,0.0
14/08/13,Thames Valley,Thames Valley - Oxford Area,0.3,1.7,3.4,5.4,1.8,0.5
15/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.0,0.9,8.0,3.0,0.9
16/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.0,1.1,8.4,3.4,1.5
17/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.7,2.6,5.4,1.1,0.1
18/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.3,1.7,7.5,2.8,1.2
19/08/13,Thames Valley,Thames Valley - Oxford Area,0.1,1.8,3.3,5.4,2.1,0.6
20/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.4,2.8,6.8,3.2,1.7
21/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.2,2.3,7.7,3.9,2.1
22/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.0,0.8,8.7,3.7,1.5
23/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.1,1.0,9.5,4.6,2.5
24/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.1,1.8,6.2,1.3,0.1
25/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.7,2.4,6.7,2.4,1.0
26/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.1,1.5,8.6,3.6,2.0
27/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.1,2.8,6.6,2.7,1.4
28/08/13,Thames Valley,Thames Valley - Oxford Area,0.1,1.6,3.1,6.4,2.9,1.4
29/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.8,1.9,7.4,3.2,1.3
30/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.3,1.7,7.4,2.8,1.1
31/08/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.1,3.1,5.1,1.2,0.2
01/09/13,Thames Valley,Thames Valley - Oxford Area,0.7,2.6,4.6,4.7,1.6,0.6
02/09/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.3,2.7,7.0,3.3,1.7
03/09/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.0,2.4,7.5,3.6,1.9
04/09/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.3,2.7,8.5,4.9,3.3
05/09/13,Thames Valley,Thames Valley - Oxford Area,0.2,1.6,2.9,8.0,4.4,2.7
06/09/13,Thames Valley,Thames Valley - Oxford Area,0.0,2.3,5.2,2.8,0.1,0.0
07/09/13,Thames Valley,Thames Valley - Oxford Area,0.4,3.2,5.6,2.7,0.6,0.0
08/09/13,Thames Valley,Thames Valley - Oxford Area,0.9,3.9,6.9,2.0,0.0,0.0
09/09/13,Thames Valley,Thames Valley - Oxford Area,0.4,4.2,7.2,1.3,0.0,0.0
10/09/13,Thames Valley,Thames Valley - Oxford Area,0.4,2.7,5.6,2.8,0.1,0.0
11/09/13,Thames Valley,Thames Valley - Oxford Area,0.0,2.6,5.6,2.4,0.0,0.0
12/09/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.2,3.1,5.2,1.3,0.2
13/09/13,Thames Valley,Thames Valley - Oxford Area,0.1,1.0,3.6,4.5,0.4,0.0
14/09/13,Thames Valley,Thames Valley - Oxford Area,0.8,4.9,7.9,1.0,0.0,0.0
15/09/13,Thames Valley,Thames Valley - Oxford Area,1.4,4.7,7.7,1.7,0.0,0.0
16/09/13,Thames Valley,Thames Valley - Oxford Area,0.9,4.9,7.9,1.0,0.0,0.0
17/09/13,Thames Valley,Thames Valley - Oxford Area,0.6,4.4,7.4,1.2,0.0,0.0
18/09/13,Thames Valley,Thames Valley - Oxford Area,0.3,3.9,6.9,1.4,0.0,0.0
19/09/13,Thames Valley,Thames Valley - Oxford Area,0.8,3.7,6.5,2.3,0.3,0.0
20/09/13,Thames Valley,Thames Valley - Oxford Area,0.5,3.2,5.8,2.7,0.4,0.0
21/09/13,Thames Valley,Thames Valley - Oxford Area,0.3,2.1,4.3,4.0,0.9,0.0
22/09/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.3,1.9,6.7,2.1,0.7
23/09/13,Thames Valley,Thames Valley - Oxford Area,0.0,0.9,3.5,4.5,0.4,0.0
24/09/13,Thames Valley,Thames Valley - Oxford Area,0.2,2.9,5.2,3.3,1.0,0.3
25/09/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.1,3.1,5.3,1.4,0.3
26/09/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.1,3.7,4.3,0.4,0.0
27/09/13,Thames Valley,Thames Valley - Oxford Area,0.0,2.2,4.7,3.3,0.5,0.0
28/09/13,Thames Valley,Thames Valley - Oxford Area,0.0,1.7,4.0,4.0,0.7,0.0
